Depth,IsTerminal,Position,FeatureIndex,FeatureValue,Value0,Value1,Value2,Value3,Number
0.0,0.0,,16.0,10.7,,,,,0.0
1.0,0.0,left,2.0,20483.0,,,,,0.0
2.0,0.0,left,15.0,418.0,,,,,0.0
3.0,1.0,left,,,-0.48455287417762893,-0.03582104333946032,0.9729654782634728,-0.28281001499467934,0.0
3.0,1.0,right,,,-0.08092076254504711,0.33717784137367135,-0.0,-0.05905028618152085,0.0
2.0,0.0,right,8.0,0.7,,,,,0.0
3.0,1.0,left,,,-0.2520908373955874,0.6802801193921852,-0.0,-0.03076854196816208,0.0
3.0,1.0,right,,,-0.376725105728566,-0.0,0.07895501730103807,0.14874740484429066,0.0
1.0,0.0,right,5.0,0.0,,,,,0.0
2.0,0.0,left,2.0,15712.0,,,,,0.0
3.0,1.0,left,,,-0.19659481694775816,0.5565721925133689,0.0,-0.0864295900178253,0.0
3.0,1.0,right,,,-0.12052097216388344,-0.3187368553248494,0.1850083539568836,0.03690497320830542,0.0
2.0,0.0,right,10.0,3.9,,,,,0.0
3.0,1.0,left,,,-0.7612058823529411,-0.8066470588235294,-0.2612058823529411,1.0087647058823528,0.0
3.0,1.0,right,,,-0.08737729278828095,0.1398968558282209,-0.005744639727056466,0.039666794478527605,0.0
0.0,0.0,,16.0,10.7,,,,,1.0
1.0,0.0,left,2.0,20483.0,,,,,1.0
2.0,0.0,left,15.0,471.0,,,,,1.0
3.0,1.0,left,,,-0.42976165221413315,-0.0,0.9030971634393776,-0.29065847312468074,1.0
3.0,1.0,right,,,-0.11645881653202554,0.2749859644285891,-0.029884656541391802,0.029924918974647247,1.0
2.0,0.0,right,8.0,0.7,,,,,1.0
3.0,1.0,left,,,-0.24764764808281328,0.6602785369858105,-0.0,-0.028589968028976103,1.0
3.0,1.0,right,,,-0.3710033208469893,-0.0,0.07716640018665955,0.14572345452696578,1.0
1.0,0.0,right,5.0,0.0,,,,,1.0
2.0,0.0,left,2.0,15712.0,,,,,1.0
3.0,1.0,left,,,-0.19379481959420544,0.543677854903103,0.0,-0.08486014111536973,1.0
3.0,1.0,right,,,-0.11858869402098994,-0.312826604165793,0.18103268069787481,0.036405537487949544,1.0
2.0,0.0,right,10.0,3.9,,,,,1.0
3.0,1.0,left,,,-0.7275611827831269,-0.7664648443133846,-0.23339834819510932,0.9534865057422041,1.0
3.0,1.0,right,,,-0.08647277291955707,0.13780586278849302,-0.005442238856665033,0.03956477779882158,1.0
0.0,0.0,,16.0,10.7,,,,,2.0
1.0,0.0,left,0.0,2580.0,,,,,2.0
2.0,0.0,left,2.0,20483.0,,,,,2.0
3.0,1.0,left,,,-0.4619080435607202,-0.1991650673846994,0.8702917558941089,-0.17832638698842526,2.0
3.0,1.0,right,,,-0.38657820712517255,0.12085832985111868,0.0,0.187639102499836,2.0
2.0,0.0,right,2.0,14812.0,,,,,2.0
3.0,1.0,left,,,0.08200208989759467,-0.031013759503217428,0.06014695916346502,-0.10825352500768148,2.0
3.0,1.0,right,,,-0.34169124433201264,0.8134836913079287,0.1705623066036831,-0.19655322673961068,2.0
1.0,0.0,right,5.0,0.0,,,,,2.0
2.0,0.0,left,2.0,15712.0,,,,,2.0
3.0,1.0,left,,,-0.19107401444117372,0.5310913554215293,0.0,-0.0833316835651801,2.0
3.0,1.0,right,,,-0.11669522325901233,-0.3070571076317287,0.17714542423646076,0.0359181119192235,2.0
2.0,0.0,right,15.0,399.0,,,,,2.0
3.0,1.0,left,,,-0.7089667956312264,-0.6630623250666126,-0.23520937571541226,0.9062210812364977,2.0
3.0,1.0,right,,,-0.011193502357886142,0.008723733988759114,-0.0,-0.013300944830739311,2.0
0.0,0.0,,16.0,10.7,,,,,3.0
